AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID
1,1,Ramesh Kumar,23,M,A1
2,2,Anita Naik,39,M,A1
3,3,Kavya Naik,22,M,A1
4,4,Sneha Gowda,28,M,A1
5,5,Suresh Naik,54,F,A1
6,6,Anita Reddy,23,M,A1
7,7,Arjun Hegde,25,F,A1
8,8,Anita Kumar,38,F,A1
9,9,Vijay Shetty,34,F,A1
10,10,Kavya Naik,18,M,A1
11,11,Priya Reddy,44,M,A1
12,12,Vijay Reddy,26,F,A1
13,13,Deepa Reddy,31,F,A1
14,14,Manjunath Naik,21,M,A1
15,15,Farhan Gowda,54,M,A1
16,16,Anita Rao,47,F,A1
17,17,Kavya Kumar,53,F,A1
18,18,Manjunath Kumar,23,F,A1
19,19,Vijay Kumar,41,M,A1
20,20,Anita Patil,19,M,A1
21,21,Priya Naik,19,M,A1
22,22,Ramesh Gowda,45,F,A1
23,23,Suresh Hegde,38,M,A1
24,24,Farhan Kumar,37,F,A1
25,25,Manjunath Hegde,23,M,A1
26,26,Priya Shetty,18,M,A1
27,27,Vijay Reddy,28,F,A1
28,28,Vijay Gowda,26,M,A1
29,29,Kavya Patil,48,M,A1
30,30,Arjun Patil,28,F,A1
31,31,Farhan Rao,44,F,A1
32,32,Priya Shetty,48,M,A1
33,33,Manjunath Patil,43,M,A1
34,34,Ramesh Patil,49,M,A1
35,35,Lakshmi Naik,23,F,A1
36,36,Lakshmi Rao,35,M,A1
37,37,Farhan Naik,37,F,A1
38,38,Sneha Reddy,35,F,A1
39,39,Arjun Reddy,24,M,A1
40,40,Anita Shetty,54,F,A1
41,41,Kavya Gowda,31,M,A1
42,42,Sneha Reddy,22,M,A1
43,43,Deepa Rao,43,F,A1
44,44,Kavya Kumar,29,F,A1
45,45,Anita Hegde,44,F,A1
46,46,Priya Hegde,49,F,A1
47,47,Vijay Patil,23,M,A1
48,48,Farhan Naik,50,M,A1
49,49,Deepa Hegde,30,M,A1
50,50,Anita Hegde,24,F,A1
51,51,Lakshmi Patil,38,F,A1
52,52,Sneha Rao,19,M,A1
