ComplainantID,CaseMasterID,ComplainantName,AgeYear,OccupationID,ReligionID,CasteID,GenderID
1,1,Priya Kumar,56,1,1,1,1
2,2,Suresh Patil,27,1,1,1,2
3,3,Arjun Naik,70,1,1,1,2
4,4,Anita Reddy,45,1,1,1,2
5,5,Priya Reddy,46,1,1,1,2
6,6,Suresh Shetty,61,1,1,1,1
7,7,Farhan Shetty,50,1,1,1,1
8,8,Ramesh Gowda,44,1,1,1,2
9,9,Priya Naik,66,1,1,1,2
10,10,Sneha Kumar,35,1,1,1,1
11,11,Suresh Gowda,63,1,1,1,2
12,12,Anita Rao,50,1,1,1,1
13,13,Ramesh Shetty,45,1,1,1,1
14,14,Sneha Hegde,24,1,1,1,1
15,15,Kavya Kumar,60,1,1,1,1
16,16,Suresh Kumar,50,1,1,1,1
17,17,Arjun Gowda,29,1,1,1,2
18,18,Manjunath Kumar,21,1,1,1,2
19,19,Farhan Shetty,23,1,1,1,2
20,20,Sneha Hegde,47,1,1,1,1
21,21,Farhan Hegde,38,1,1,1,1
22,22,Sneha Hegde,48,1,1,1,1
23,23,Sneha Rao,53,1,1,1,2
24,24,Priya Patil,58,1,1,1,2
25,25,Arjun Rao,35,1,1,1,1
26,26,Farhan Naik,32,1,1,1,2
27,27,Deepa Rao,69,1,1,1,1
28,28,Priya Patil,65,1,1,1,1
29,29,Lakshmi Rao,69,1,1,1,2
30,30,Anita Kumar,46,1,1,1,1
31,31,Suresh Reddy,22,1,1,1,1
32,32,Kavya Naik,50,1,1,1,2
33,33,Suresh Naik,27,1,1,1,2
34,34,Farhan Hegde,61,1,1,1,2
35,35,Deepa Naik,69,1,1,1,2
36,36,Vijay Naik,26,1,1,1,1
37,37,Deepa Hegde,48,1,1,1,2
38,38,Suresh Naik,39,1,1,1,1
39,39,Kavya Rao,51,1,1,1,2
40,40,Suresh Naik,28,1,1,1,2
41,41,Manjunath Gowda,31,1,1,1,1
42,42,Manjunath Naik,48,1,1,1,1
43,43,Vijay Reddy,49,1,1,1,1
44,44,Vijay Reddy,38,1,1,1,1
45,45,Manjunath Patil,69,1,1,1,1
46,46,Ramesh Naik,38,1,1,1,1
47,47,Suresh Reddy,28,1,1,1,1
48,48,Suresh Rao,70,1,1,1,2
49,49,Kavya Patil,35,1,1,1,2
50,50,Suresh Reddy,21,1,1,1,1
51,51,Vijay Kumar,60,1,1,1,1
52,52,Lakshmi Kumar,39,1,1,1,2
53,53,Priya Reddy,61,1,1,1,2
54,54,Manjunath Naik,45,1,1,1,2
55,55,Priya Hegde,35,1,1,1,1
56,56,Lakshmi Patil,32,1,1,1,1
57,57,Priya Patil,56,1,1,1,2
58,58,Deepa Kumar,60,1,1,1,2
59,59,Farhan Reddy,44,1,1,1,2
60,60,Lakshmi Gowda,64,1,1,1,2
61,61,Priya Shetty,57,1,1,1,1
62,62,Arjun Kumar,29,1,1,1,1
63,63,Lakshmi Gowda,49,1,1,1,1
64,64,Lakshmi Shetty,25,1,1,1,1
65,65,Priya Patil,42,1,1,1,2
66,66,Sneha Hegde,29,1,1,1,1
67,67,Anita Reddy,35,1,1,1,1
68,68,Lakshmi Hegde,21,1,1,1,1
69,69,Manjunath Hegde,70,1,1,1,1
70,70,Suresh Rao,64,1,1,1,2
71,71,Deepa Patil,32,1,1,1,1
72,72,Kavya Patil,66,1,1,1,2
73,73,Vijay Gowda,46,1,1,1,2
74,74,Priya Shetty,59,1,1,1,1
75,75,Deepa Rao,38,1,1,1,1
76,76,Lakshmi Reddy,53,1,1,1,1
77,77,Farhan Hegde,64,1,1,1,1
78,78,Arjun Patil,29,1,1,1,1
79,79,Manjunath Shetty,34,1,1,1,2
80,80,Anita Shetty,65,1,1,1,1
81,81,Arjun Reddy,50,1,1,1,2
82,82,Manjunath Gowda,69,1,1,1,1
83,83,Priya Patil,26,1,1,1,2
84,84,Manjunath Naik,30,1,1,1,2
85,85,Sneha Shetty,39,1,1,1,2
86,86,Lakshmi Rao,68,1,1,1,1
87,87,Sneha Reddy,61,1,1,1,1
88,88,Arjun Naik,39,1,1,1,2
89,89,Suresh Patil,26,1,1,1,2
90,90,Ramesh Hegde,60,1,1,1,2
91,91,Suresh Naik,70,1,1,1,2
92,92,Suresh Kumar,68,1,1,1,1
93,93,Anita Gowda,49,1,1,1,1
94,94,Anita Naik,52,1,1,1,1
95,95,Anita Hegde,62,1,1,1,1
96,96,Manjunath Shetty,31,1,1,1,2
97,97,Kavya Shetty,31,1,1,1,2
98,98,Arjun Rao,51,1,1,1,1
99,99,Anita Hegde,53,1,1,1,1
100,100,Priya Shetty,52,1,1,1,2
101,101,Suresh Patil,29,1,1,1,2
102,102,Suresh Patil,44,1,1,1,2
103,103,Lakshmi Hegde,31,1,1,1,2
104,104,Kavya Rao,67,1,1,1,1
105,105,Deepa Hegde,47,1,1,1,1
106,106,Lakshmi Shetty,50,1,1,1,2
107,107,Sneha Reddy,41,1,1,1,2
108,108,Deepa Rao,68,1,1,1,2
109,109,Suresh Patil,42,1,1,1,2
110,110,Suresh Naik,55,1,1,1,1
111,111,Deepa Reddy,29,1,1,1,2
112,112,Farhan Hegde,26,1,1,1,2
113,113,Sneha Naik,24,1,1,1,1
114,114,Deepa Shetty,50,1,1,1,2
115,115,Ramesh Naik,57,1,1,1,1
116,116,Vijay Reddy,64,1,1,1,2
117,117,Farhan Shetty,70,1,1,1,1
118,118,Vijay Patil,54,1,1,1,1
119,119,Sneha Gowda,23,1,1,1,2
120,120,Ramesh Shetty,53,1,1,1,2
121,121,Vijay Shetty,61,1,1,1,2
122,122,Deepa Kumar,56,1,1,1,2
123,123,Farhan Kumar,25,1,1,1,1
124,124,Farhan Naik,56,1,1,1,2
125,125,Kavya Naik,68,1,1,1,1
126,126,Anita Hegde,31,1,1,1,1
127,127,Ramesh Naik,53,1,1,1,2
128,128,Ramesh Patil,32,1,1,1,1
129,129,Arjun Gowda,62,1,1,1,1
130,130,Priya Naik,65,1,1,1,2
131,131,Anita Naik,57,1,1,1,2
132,132,Ramesh Rao,49,1,1,1,2
133,133,Sneha Shetty,68,1,1,1,2
134,134,Suresh Hegde,56,1,1,1,1
135,135,Manjunath Rao,38,1,1,1,2
136,136,Anita Rao,21,1,1,1,2
137,137,Anita Patil,41,1,1,1,2
138,138,Deepa Rao,65,1,1,1,1
139,139,Vijay Patil,55,1,1,1,1
140,140,Suresh Kumar,27,1,1,1,2
141,141,Suresh Gowda,67,1,1,1,1
142,142,Lakshmi Gowda,64,1,1,1,1
143,143,Kavya Patil,45,1,1,1,1
144,144,Kavya Patil,60,1,1,1,2
145,145,Suresh Shetty,44,1,1,1,1
146,146,Lakshmi Reddy,60,1,1,1,1
147,147,Ramesh Rao,35,1,1,1,2
148,148,Farhan Gowda,68,1,1,1,1
149,149,Priya Naik,24,1,1,1,2
150,150,Arjun Shetty,65,1,1,1,1
151,151,Farhan Rao,65,1,1,1,2
152,152,Manjunath Hegde,39,1,1,1,2
153,153,Deepa Kumar,48,1,1,1,1
154,154,Arjun Rao,67,1,1,1,1
155,155,Sneha Shetty,51,1,1,1,1
156,156,Sneha Naik,61,1,1,1,1
157,157,Arjun Gowda,36,1,1,1,2
158,158,Priya Reddy,61,1,1,1,1
159,159,Priya Kumar,24,1,1,1,2
160,160,Anita Hegde,46,1,1,1,1
161,161,Sneha Shetty,65,1,1,1,1
162,162,Farhan Rao,54,1,1,1,1
163,163,Priya Kumar,23,1,1,1,1
164,164,Suresh Hegde,28,1,1,1,1
165,165,Kavya Rao,68,1,1,1,1
166,166,Arjun Kumar,42,1,1,1,1
167,167,Priya Patil,65,1,1,1,2
168,168,Farhan Hegde,41,1,1,1,2
169,169,Manjunath Reddy,37,1,1,1,1
170,170,Arjun Rao,37,1,1,1,1
171,171,Lakshmi Gowda,58,1,1,1,2
172,172,Sneha Patil,52,1,1,1,1
173,173,Ramesh Gowda,38,1,1,1,2
174,174,Farhan Rao,32,1,1,1,1
175,175,Manjunath Kumar,69,1,1,1,1
176,176,Deepa Rao,32,1,1,1,2
177,177,Ramesh Shetty,58,1,1,1,1
178,178,Arjun Hegde,32,1,1,1,2
179,179,Deepa Shetty,42,1,1,1,1
180,180,Lakshmi Rao,27,1,1,1,1
181,181,Suresh Kumar,39,1,1,1,1
182,182,Kavya Patil,31,1,1,1,1
183,183,Farhan Reddy,30,1,1,1,1
184,184,Deepa Rao,26,1,1,1,2
185,185,Kavya Naik,56,1,1,1,1
186,186,Anita Shetty,34,1,1,1,1
187,187,Vijay Hegde,38,1,1,1,2
188,188,Farhan Reddy,57,1,1,1,2
189,189,Manjunath Rao,38,1,1,1,2
190,190,Priya Patil,68,1,1,1,2
191,191,Deepa Kumar,44,1,1,1,1
192,192,Lakshmi Shetty,37,1,1,1,1
193,193,Anita Shetty,59,1,1,1,1
194,194,Kavya Gowda,21,1,1,1,2
195,195,Vijay Naik,24,1,1,1,2
196,196,Arjun Reddy,63,1,1,1,2
197,197,Lakshmi Naik,68,1,1,1,2
198,198,Farhan Kumar,30,1,1,1,1
199,199,Ramesh Reddy,38,1,1,1,1
200,200,Sneha Hegde,21,1,1,1,2
201,201,Ramesh Rao,39,1,1,1,2
202,202,Priya Kumar,58,1,1,1,1
203,203,Sneha Gowda,47,1,1,1,2
204,204,Kavya Shetty,47,1,1,1,1
205,205,Priya Reddy,42,1,1,1,1
206,206,Manjunath Reddy,24,1,1,1,1
207,207,Sneha Gowda,44,1,1,1,2
208,208,Suresh Patil,58,1,1,1,2
209,209,Suresh Rao,62,1,1,1,2
210,210,Vijay Kumar,21,1,1,1,1
211,211,Farhan Naik,26,1,1,1,2
212,212,Suresh Rao,53,1,1,1,1
213,213,Arjun Naik,21,1,1,1,2
214,214,Suresh Patil,34,1,1,1,2
215,215,Vijay Kumar,56,1,1,1,2
216,216,Lakshmi Rao,49,1,1,1,1
217,217,Sneha Shetty,53,1,1,1,2
218,218,Anita Kumar,63,1,1,1,1
219,219,Priya Rao,65,1,1,1,1
220,220,Deepa Shetty,64,1,1,1,1
221,221,Ramesh Shetty,41,1,1,1,1
222,222,Farhan Patil,26,1,1,1,2
223,223,Arjun Hegde,45,1,1,1,1
224,224,Suresh Shetty,70,1,1,1,1
225,225,Sneha Hegde,23,1,1,1,1
226,226,Arjun Gowda,55,1,1,1,1
227,227,Farhan Patil,63,1,1,1,1
228,228,Vijay Gowda,40,1,1,1,1
229,229,Arjun Gowda,39,1,1,1,1
230,230,Lakshmi Rao,65,1,1,1,1
231,231,Deepa Hegde,70,1,1,1,2
232,232,Kavya Patil,70,1,1,1,1
233,233,Farhan Hegde,53,1,1,1,1
234,234,Priya Gowda,37,1,1,1,2
235,235,Farhan Patil,44,1,1,1,1
236,236,Vijay Rao,34,1,1,1,1
237,237,Arjun Patil,22,1,1,1,1
238,238,Priya Reddy,59,1,1,1,2
239,239,Farhan Shetty,27,1,1,1,1
240,240,Arjun Patil,54,1,1,1,2
241,241,Priya Gowda,39,1,1,1,2
242,242,Manjunath Patil,57,1,1,1,2
243,243,Sneha Patil,68,1,1,1,1
244,244,Anita Reddy,59,1,1,1,2
245,245,Priya Rao,33,1,1,1,1
246,246,Vijay Kumar,68,1,1,1,1
247,247,Farhan Gowda,56,1,1,1,1
248,248,Deepa Reddy,58,1,1,1,1
249,249,Manjunath Gowda,46,1,1,1,2
250,250,Priya Naik,36,1,1,1,2
251,251,Deepa Shetty,69,1,1,1,2
252,252,Lakshmi Kumar,21,1,1,1,1
253,253,Deepa Patil,34,1,1,1,2
254,254,Anita Shetty,51,1,1,1,1
255,255,Manjunath Reddy,61,1,1,1,1
256,256,Sneha Reddy,26,1,1,1,2
257,257,Lakshmi Rao,66,1,1,1,2
258,258,Sneha Gowda,34,1,1,1,1
259,259,Manjunath Naik,36,1,1,1,2
260,260,Kavya Reddy,61,1,1,1,2
261,261,Ramesh Shetty,43,1,1,1,2
262,262,Farhan Naik,31,1,1,1,2
263,263,Anita Rao,28,1,1,1,2
264,264,Priya Gowda,30,1,1,1,1
265,265,Vijay Reddy,32,1,1,1,1
266,266,Deepa Patil,64,1,1,1,2
267,267,Arjun Patil,41,1,1,1,1
268,268,Deepa Gowda,64,1,1,1,2
269,269,Ramesh Patil,43,1,1,1,1
270,270,Suresh Shetty,49,1,1,1,2
271,271,Priya Reddy,70,1,1,1,1
272,272,Ramesh Patil,63,1,1,1,2
273,273,Vijay Patil,44,1,1,1,1
