VictimMasterID,CaseMasterID,VictimName,AgeYear,GenderID,VictimPolice
1,1,Vijay Gowda,55,F,0
2,2,Anita Patil,39,F,0
3,3,Suresh Rao,58,F,0
4,4,Lakshmi Hegde,31,F,0
5,5,Ramesh Hegde,43,F,0
6,6,Kavya Patil,41,M,0
7,7,Ramesh Gowda,61,F,0
8,8,Arjun Naik,27,F,0
9,9,Suresh Shetty,26,F,0
10,10,Lakshmi Kumar,55,M,0
11,11,Vijay Shetty,64,F,0
12,12,Suresh Naik,30,M,0
13,13,Suresh Naik,28,F,0
14,14,Vijay Reddy,27,M,0
15,15,Suresh Gowda,61,M,0
16,16,Lakshmi Naik,34,F,0
17,17,Manjunath Shetty,46,F,0
18,18,Priya Rao,50,F,0
19,19,Suresh Gowda,62,M,0
20,20,Farhan Shetty,33,M,0
21,21,Priya Reddy,40,F,0
22,22,Manjunath Shetty,55,F,0
23,23,Arjun Naik,41,F,0
24,24,Farhan Shetty,57,F,0
25,25,Sneha Shetty,60,M,0
26,26,Priya Patil,49,F,0
27,27,Vijay Hegde,46,F,0
28,28,Priya Rao,39,F,0
29,29,Farhan Patil,55,M,0
30,30,Deepa Kumar,42,F,0
31,31,Priya Reddy,38,F,0
32,32,Priya Kumar,57,M,0
33,33,Manjunath Gowda,55,M,0
34,34,Lakshmi Gowda,50,F,0
35,35,Deepa Reddy,45,F,0
36,36,Deepa Naik,40,F,0
37,37,Ramesh Gowda,36,M,0
38,38,Suresh Shetty,30,M,0
39,39,Vijay Rao,62,M,0
40,40,Deepa Gowda,54,M,0
41,41,Farhan Rao,54,M,0
42,42,Ramesh Naik,36,F,0
43,43,Manjunath Rao,46,M,0
44,44,Kavya Kumar,61,F,0
45,45,Lakshmi Hegde,60,M,0
46,46,Arjun Reddy,44,M,0
47,47,Sneha Shetty,37,M,0
48,48,Priya Reddy,53,M,0
49,49,Deepa Hegde,39,F,0
50,50,Arjun Shetty,49,M,0
51,51,Kavya Patil,59,M,0
52,52,Sneha Gowda,46,M,0
53,53,Anita Shetty,23,F,0
54,54,Deepa Hegde,55,F,0
55,55,Ramesh Patil,35,M,0
56,56,Manjunath Reddy,20,F,0
57,57,Deepa Rao,65,F,0
